"","Language","Freq"
"1","afr",18
"2","alb",120
"3","ara",164
"4","arm",28
"5","aze",29
"6","baq",62
"7","bas",1
"8","bel",37
"9","ben",1
"10","bnt",1
"11","bos",22
"12","bre",5
"13","bul",814
"14","cat",406
"15","chi",538
"16","cze",2637
"17","dan",586
"18","dsb",2
"19","dut",2087
"20","eng",3129
"21","epo",33
"22","est",425
"23","fao",4
"24","fin",377
"25","fre",3737
"26","fry",12
"27","geo",84
"28","ger",1322
"29","gla",2
"30","gle",2
"31","glg",42
"32","gre",575
"33","gsw",68
"34","heb",264
"35","hin",8
"36","hrv",463
"37","hsb",2
"38","hun",1426
"39","ice",40
"40","ind",14
"41","ita",2437
"42","jpn",650
"43","kaz",2
"44","kir",1
"45","kor",249
"46","kur",4
"47","lat",27
"48","lav",409
"49","lit",494
"50","ltz",3
"51","mac",99
"52","mal",1
"53","may",3
"54","mlg",1
"55","mlt",1
"56","mon",8
"57","mul",7
"58","nds",73
"59","nno",1
"60","nor",536
"61","oci",4
"62","per",142
"63","pol",2077
"64","por",789
"65","roh",14
"66","rum",538
"67","rus",1441
"68","sin",1
"69","slo",389
"70","slv",494
"71","spa",3222
"72","srp",676
"73","swa",1
"74","swe",649
"75","tha",7
"76","tir",1
"77","tur",735
"78","ukr",119
"79","und",1
"80","urd",4
"81","vie",59
"82","wel",2
"83","wen",1
"84","wln",1
"85","xxx",8
"86","yid",4
