"","deg","eigen","bet"
"eng",73,1,359.681390231443
"fre",72,0.952386386050041,341.680402394419
"hun",72,0.930345913225258,199.04260887193
"dut",71,0.90034398159588,160.437525232069
"pol",71,0.870897812544373,158.106360198465
"spa",71,0.813736022462067,126.648064880239
"tur",71,0.77008465769209,117.496521235587
"ger",70,0.651182153930264,110.925557802301
"ita",70,0.642731075721179,79.2485077716669
"rus",70,0.570241519965256,78.3248521633789
"chi",69,0.569247818572011,52.9413281043372
"gre",69,0.567370927046005,51.4064270694268
"bul",68,0.546695533124702,50.8742123234761
"cat",68,0.540853556308917,48.8577998742831
"rum",68,0.512693057820971,47.5765397251488
"slo",68,0.50598771436509,47.463120295621
"srp",68,0.501609419323702,42.7027690386379
"cze",67,0.485103182414111,32.255690636995
"dan",66,0.447496450151416,32.255690636995
"est",66,0.437592479799159,32.255690636995
"hrv",66,0.43506012173031,31.2320475711588
"por",66,0.423764238571946,31.0564717005221
"slv",66,0.407132636749457,29.8479781323806
"baq",65,0.395184647520859,29.8321051165076
"fin",65,0.371734795114426,25.5728070956599
"nor",65,0.370207009654475,22.1008057184945
"per",65,0.369592009147083,21.6984243896171
"ara",64,0.354210366517606,21.4488749889184
"lav",64,0.344846867562765,20.8128815757046
"heb",63,0.30869257560795,20.5847386315156
"kor",63,0.243873975590074,20.1209053311829
"lit",63,0.195642865288882,19.9318565495906
"swe",63,0.190955177542192,19.7451703871999
"ukr",63,0.189475755887588,18.5803903804765
"glg",61,0.158992094880858,17.1974999162263
"mac",61,0.137571208770099,17.0514776477339
"arm",60,0.135258007244227,16.8360685479818
"jpn",60,0.101451742372658,16.8250829832549
"lat",60,0.0988949290679797,16.7066285102647
"ice",59,0.0956944689234818,16.6060627572155
"bel",58,0.0857046229348764,16.1948648149269
"geo",58,0.0651496033381808,14.8493175933759
"epo",57,0.0585411437820096,14.4979615766115
"vie",57,0.054640979467052,13.2069836770935
"hin",56,0.0430729604698501,12.8327471534198
"ind",56,0.0295842122495452,12.5900741587697
"fry",54,0.027230094184636,12.5769273411477
"bos",53,0.0208009684491265,11.9711906981248
"tha",53,0.0178103973985334,11.9229162515405
"may",52,0.0164219337093015,11.1400889097466
"kur",51,0.0161083381856856,10.1261625826352
"mon",51,0.0141667797960145,9.98909401343592
"fao",49,0.0137997251736241,9.98909401343592
"urd",49,0.0136312801330109,9.62924289650069
"bre",47,0.012900074902153,9.13468602114357
"mal",46,0.0109825589297917,9.06541227353138
"roh",46,0.0104227726303066,8.6518548344144
"sin",46,0.00873596500509931,8.08283751783118
"wel",45,0.00631894581731748,8.01190627038527
"nds",43,0.00588355103610053,7.6611814619427
"gle",40,0.00470769927138741,6.83644681860316
"oci",40,0.00468559404610545,6.80122489924692
"ben",37,0.00441533291393288,6.73517070889891
"nno",36,0.00426435673542301,5.71564783101993
"gla",27,0.00423411575203806,5.62092229022091
"ltz",26,0.00359254413464008,5.49851892228851
"mlt",23,0.0035070025542912,5.28909484898211
"dsb",21,0.002514013599188,4.98477389029475
"wln",21,0.00247564553266601,4.6868271877906
"yid",21,0.00214009204758208,2.76289436653439
"bnt",19,0.00214009204758208,2.58608907871883
"swa",16,0.00214009204758208,2.15384614011059
"kir",11,0.00190598504619934,2.06885323201587
"kaz",6,0.00111193105589226,1.93598809524648
"mul",5,0.000812515979649507,1.91095760350299
"gsw",3,0.000560247704554057,0
"tir",1,4.04831457578656e-05,0
"hsb",0,6.77966217806724e-20,0
"mlg",0,6.77966217806724e-20,0
"und",0,6.77966217806724e-20,0
"wen",0,6.77966217806724e-20,0
