"","language","count"
"1","afr",4
"2","alb",8
"3","ara",22
"4","arm",3
"5","aze",2
"6","baq",13
"7","bas",1
"8","bel",4
"9","ben",1
"10","bnt",1
"11","bos",6
"12","bre",2
"13","bul",14
"14","cat",27
"15","chi",37
"16","cze",69
"17","dan",37
"18","dsb",1
"19","dut",106
"20","eng",386
"21","epo",14
"22","est",8
"23","fao",3
"24","fin",23
"25","fre",212
"26","fry",6
"27","geo",4
"28","ger",415
"29","gla",2
"30","gle",2
"31","glg",8
"32","gre",12
"33","gsw",3
"34","heb",16
"35","hin",2
"36","hrv",25
"37","hsb",2
"38","hun",43
"39","ice",2
"40","ind",2
"41","ita",134
"42","jpn",22
"43","kaz",1
"44","kir",1
"45","kor",15
"46","kur",4
"47","lat",11
"48","lav",10
"49","lit",10
"50","ltz",3
"51","mac",4
"52","mal",1
"53","may",2
"54","mlg",1
"55","mlt",1
"56","mon",2
"57","mul",5
"58","nds",13
"59","nno",1
"60","nor",25
"61","oci",3
"62","per",8
"63","pol",72
"64","por",54
"65","roh",9
"66","rum",30
"67","rus",72
"68","sin",1
"69","slo",24
"70","slv",27
"71","spa",130
"72","srp",28
"73","swa",1
"74","swe",39
"75","tha",2
"76","tir",1
"77","tur",48
"78","ukr",12
"79","und",1
"80","urd",2
"81","vie",7
"82","wel",2
"83","wen",1
"84","wln",1
"85","xxx",6
"86","yid",2
