"","country","count"
"1","",65
"2","XA-AD",2
"3","XA-AL",1
"4","XA-AT",24
"5","XA-BA",5
"6","XA-BE",18
"7","XA-BG",4
"8","XA-BY",1
"9","XA-CH",60
"10","XA-CSHH",4
"11","XA-CSXX",3
"12","XA-CY",1
"13","XA-CZ",42
"14","XA-DE",50
"15","XA-DE-BB",6
"16","XA-DE-BE",2
"17","XA-DE-BW",21
"18","XA-DE-BY",40
"19","XA-DE-HB",1
"20","XA-DE-HE",22
"21","XA-DE-HH",1
"22","XA-DE-MV",3
"23","XA-DE-NI",12
"24","XA-DE-NW",34
"25","XA-DE-RP",8
"26","XA-DE-SH",9
"27","XA-DE-SL",5
"28","XA-DE-SN",6
"29","XA-DE-ST",3
"30","XA-DE-TH",2
"31","XA-DK",27
"32","XA-EE",5
"33","XA-ES",80
"34","XA-FI",12
"35","XA-FR",133
"36","XA-GB",50
"37","XA-GR",7
"38","XA-HR",10
"39","XA-HU",28
"40","XA-IE",3
"41","XA-IS",1
"42","XA-IT",70
"43","XA-LT",7
"44","XA-LU",3
"45","XA-LV",4
"46","XA-MD",3
"47","XA-ME",1
"48","XA-MK",1
"49","XA-MT",1
"50","XA-NL",52
"51","XA-NO",16
"52","XA-PL",45
"53","XA-PT",19
"54","XA-RO",21
"55","XA-RS",9
"56","XA-RU",19
"57","XA-SE",26
"58","XA-SI",14
"59","XA-SK",15
"60","XA-SUHH",9
"61","XA-UA",11
"62","XA-YUCS",11
"63","XB-AM",1
"64","XB-CN",15
"65","XB-GE",1
"66","XB-HK",2
"67","XB-ID",2
"68","XB-IL",12
"69","XB-IN",10
"70","XB-IQ",2
"71","XB-IR",3
"72","XB-JO",1
"73","XB-JP",16
"74","XB-KR",9
"75","XB-KW",1
"76","XB-KZ",1
"77","XB-LB",2
"78","XB-LK",1
"79","XB-MN",1
"80","XB-MY",1
"81","XB-PK",1
"82","XB-SY",1
"83","XB-TH",1
"84","XB-TR",25
"85","XB-TW",5
"86","XB-VN",4
"87","XC-DZ",1
"88","XC-EG",3
"89","XC-MA",1
"90","XC-MG",1
"91","XC-NA",1
"92","XC-UG",1
"93","XC-ZA",3
"94","XD-AR",4
"95","XD-BO",1
"96","XD-BR",12
"97","XD-CA",7
"98","XD-CL",4
"99","XD-CO",3
"100","XD-CU",4
"101","XD-EC",1
"102","XD-HT",1
"103","XD-MX",6
"104","XD-PE",1
"105","XD-SV",1
"106","XD-US",90
"107","XD-UY",1
"108","XD-VE",1
"109","XE-AU",4
"110","XE-NZ",4
"111","XK-FO",2
