"","place","count"
"1","",1
"2","Aachen",4
"3","Aarau",1
"4","Abū Ẓabī",2
"5","Aguessac",1
"6","Ahrensburg",1
"7","Aizpute",4
"8","al  Ǧīza",1
"9","al Kuwait",1
"10","Almaty",1
"11","Altmünster",1
"12","Amsterdam",1
"13","Aspach",1
"14","Athēna",1
"15","Augsburg",2
"16","Bad Bellingen",1
"17","Bad Tölz",1
"18","Bairūt",1
"19","Balsthal",1
"20","Baltimore",1
"21","Barcelona",2
"22","Beijing",7
"23","Belp",2
"24","Bene Beraḳ",1
"25","Bergisch Gladbach",6
"26","Berlin",32
"27","Bochum",2
"28","Bolzano",1
"29","Bonn",2
"30","Bouzonville",1
"31","Bräist Bredstedt",1
"32","Bratislava",24
"33","Bremen",8
"34","Brey",1
"35","Brunn am Gebirge",1
"36","Bucareşti",1
"37","Bucureşti",17
"38","Budapest",6
"39","Buffalo",1
"40","Caracas",1
"41","Černivci",1
"42","CH Oberrieden",1
"43","Cluj",1
"44","Cluj Napoca",4
"45","Coira",1
"46","Deiningen",2
"47","Dienheim",1
"48","Dimašq",1
"49","Dlhé Pole",1
"50","Dortmund",1
"51","Dozwil",2
"52","Dresden",4
"53","Dudenhofen",1
"54","Düsseldorf",3
"55","Egelsbach",1
"56","Eggingen",1
"57","Eislingen",1
"58","Eivissa",1
"59","Erkrath",2
"60","Erlangen",1
"61","Es Castell",1
"62","Evian les Bains",1
"63","Frankfurt",32
"64","Frankfurt a M",1
"65","Frauenfeld",2
"66","Freiburg",2
"67","Friedberg",1
"68","Gelnhausen",1
"69","Germersheim",1
"70","Gmunden",1
"71","Gorizia",1
"72","Grand Saconnex",1
"73","Graz",1
"74","Gui yang",3
"75","Guilin",1
"76","Hà Nôi",1
"77","Hamburg",10
"78","Hämeenlinna",2
"79","Haselünne",1
"80","Hassmersheim",1
"81","Heidelberg",2
"82","Heikendorf",1
"83","Heilbronn",1
"84","Helsinke",1
"85","Helsinki",15
"86","Hildesheim Achtum",1
"87","Homburg",1
"88","Homburg Saar",1
"89","Hoorn",1
"90","Hürth bei Köln",1
"91","Husum",1
"92","Iaşi",2
"93","Jakarta",1
"94","Jelenia Góra",1
"95","Jyväskylä",2
"96","Kallmünz",1
"97","Kassel",1
"98","Kaufbeuren Neugablonz",1
"99","Kaunas",2
"100","Kazanʹ",1
"101","Kiel",2
"102","Kiev",1
"103","Klagenfurt",3
"104","Klaipėda",1
"105","Köln",10
"106","Koyang",1
"107","Kraków",2
"108","Krefeld",1
"109","Krung Thēp",1
"110","Kuressaare",3
"111","Kyi  v",2
"112","Lʹviv",2
"113","La Coruña",1
"114","La Pobla del Benifassà",1
"115","Lausanne",1
"116","Leeuwarden",2
"117","Leipzig",4
"118","Levoča",1
"119","Liptovský Mikuláš",1
"120","London",1
"121","Lublin",1
"122","Łubowice",2
"123","Lucena",1
"124","Ludwigsburg",3
"125","Ludwigshafen am Rhein",1
"126","Lyttelton",1
"127","Madrid",2
"128","Mainz",3
"129","Malmö",1
"130","Mannheim",2
"131","Maó",1
"132","Marbach",1
"133","Marklkofen",2
"134","Marktleuthen",1
"135","Minsk",3
"136","Montreuil sur Brèche",1
"137","Mostar",1
"138","Mühlheim am Main",1
"139","Mühltal",13
"140","Müncheberg",1
"141","München",19
"142","Murnau am Staffelsee",1
"143","Nagold",1
"144","Nan jing",1
"145","Neckarmühlbach",1
"146","Neckarsteinach",1
"147","Neuenkirchen",1
"148","Nice",1
"149","Niederwerrn",1
"150","Nijmegen",1
"151","Norden",1
"152","Norderstedt",4
"153","Nordstrand Nordsee",1
"154","Nürnberg",3
"155","Oberhof",1
"156","Octon",1
"157","Offenbach Main",1
"158","Offenburg",1
"159","Oldenburg",1
"160","Olsztyn",1
"161","Opole",3
"162","Oradea",2
"163","Orihuela Costa",1
"164","Östringen",1
"165","Ötigheim",1
"166","Ottersberg",1
"167","P aju",1
"168","Paris",1
"169","Piteşti",3
"170","Pittsburgh",1
"171","Pleinfeld",1
"172","Porvoo",1
"173","Poznań",1
"174","Praha",1
"175","Praze",1
"176","Puławy",1
"177","Rabat",1
"178","Radebeul",1
"179","Rāmat Gan",1
"180","Râmnicu Vâlcea",1
"181","Regensburg",2
"182","Reinbek",1
"183","Reinbek bei Hamburg",5
"184","Remscheid",2
"185","Reşiţa",1
"186","Reus",1
"187","Reykjavík",2
"188","Rheda Wiedenbrück",3
"189","Rīgā",36
"190","Rm  Sărat",1
"191","Rostock",2
"192","Rüschlikon",1
"193","Rüsselsheim",1
"194","Rütte",1
"195","Ružomberok",1
"196","Rzeszów",1
"197","Saarbrücken",1
"198","Saarbrücken Dudweiler",1
"199","Sada",1
"200","Saint Nazaire",1
"201","Salvador",1
"202","Salzburg",1
"203","San Miguel de Abona",1
"204","Sankt Peterburg",1
"205","São Paulo",1
"206","Schloss Hamborn",1
"207","Schloß Hamborn",1
"208","Schmallenberg",1
"209","Schmitten",1
"210","Schöneiche b  Berlin",1
"211","Schwanenstadt",1
"212","Schwaz",1
"213","Schweinfurt",3
"214","Senica",1
"215","Seo ul",7
"216","Seyssel sur Rhône",1
"217","Shang hai",6
"218","Sibiu",3
"219","Šilutė",1
"220","Skopje",1
"221","Slovenj Gradec",1
"222","Smederevo",2
"223","Smederovo",1
"224","Sofija",1
"225","Sŏul",8
"226","Sŏul si",1
"227","Speyer",1
"228","St  Gallen",2
"229","Stuttgart",5
"230","T bilisi",5
"231","Taching am See",1
"232","Tai bei",7
"233","Tallinn",1
"234","Tartu",7
"235","Taufkirchen",1
"236","Tehran",4
"237","Tehran Iran",1
"238","Tel Aviv",6
"239","Telgte",1
"240","Temeswar",1
"241","Tempe",1
"242","Thonon les Bains",1
"243","Timişoara",3
"244","Tiranë",1
"245","Toluca",1
"246","Toulouse",5
"247","Trnava",1
"248","Tukumā",1
"249","Ústí nad Labem",1
"250","Vacallo",1
"251","Vachendorf",1
"252","Valchava",1
"253","Valkeakoski",1
"254","Vancouver",1
"255","Vechta",1
"256","Vechta Langförden",1
"257","Verden Aller",6
"258","Viganello",1
"259","Vigo",1
"260","Vilnius",31
"261","Warszawa",3
"262","Weiden",1
"263","Weinheim",1
"264","Weissach i T",1
"265","Wien",6
"266","Wiesloch",1
"267","Wildflecken",1
"268","Winnert",1
"269","Wisen",1
"270","Wolfsberg",1
"271","Wolfsburg",1
"272","Wrocław",5
"273","Wuppertal",1
"274","Yerushalayim",3
"275","Zagreb",1
"276","Zürich",19
